algorithm,n_weapon_types,n_weapons,n_targets,value,time_sec,iterations,extra,category,instance_id,instance_file
ACO_Original,5,11,5,3.9364468147811014,2.1103140999912284,1039,,5x5,21,instance_021.json
ACO_Modified,5,11,5,3.254546241860698,2.1122828000225127,997,improvement_pct=0.0000,5x5,21,instance_021.json
MMR_Original,5,10,5,13.460131967118157,3.2400013878941536e-05,10,,5x5,22,instance_022.json
MMR_Modified,5,10,5,10.399476311018695,0.0005864999839104712,2,improvement_pct=22.7387,5x5,22,instance_022.json
ACO_Original,5,10,5,14.690608257986996,2.100973199994769,1253,,5x5,22,instance_022.json
ACO_Modified,5,10,5,13.460131967118157,2.1000547999865375,1194,improvement_pct=0.0000,5x5,22,instance_022.json
MMR_Original,5,11,5,28.511101718946993,5.809997674077749e-05,11,,5x5,23,instance_023.json
MMR_Modified,5,11,5,27.675858258693392,0.0007171999895945191,2,improvement_pct=2.9295,5x5,23,instance_023.json
ACO_Original,5,11,5,34.34003439505721,2.1102094000088982,997,,5x5,23,instance_023.json
ACO_Modified,5,11,5,28.511101718946993,2.110017400002107,991,improvement_pct=0.0000,5x5,23,instance_023.json
MMR_Original,5,9,5,16.998881539612704,3.63999861292541e-05,9,,5x5,24,instance_024.json
MMR_Modified,5,9,5,16.998881539612704,0.0002807999844662845,1,improvement_pct=0.0000,5x5,24,instance_024.json
ACO_Original,5,9,5,44.348215196269926,2.0902497000060976,1532,,5x5,24,instance_024.json
ACO_Modified,5,9,5,16.998881539612704,2.090569299994968,1407,improvement_pct=0.0000,5x5,24,instance_024.json
MMR_Original,5,11,5,28.51416252480324,3.5699980799108744e-05,11,,5x5,25,instance_025.json
MMR_Modified,5,11,5,28.51416252480324,0.0006009999779053032,1,improvement_pct=0.0000,5x5,25,instance_025.json
ACO_Original,5,11,5,39.51322494920743,2.1118352000485174,1045,,5x5,25,instance_025.json
ACO_Modified,5,11,5,28.51416252480324,2.1127203999785706,1063,improvement_pct=0.0000,5x5,25,instance_025.json
MMR_Original,5,13,5,11.538256184624455,4.9200025387108326e-05,13,,5x5,26,instance_026.json
MMR_Modified,5,13,5,5.9432526567799675,0.0012373999925330281,3,improvement_pct=48.4909,5x5,26,instance_026.json
ACO_Original,5,13,5,5.9432526567799675,2.131898599967826,772,,5x5,26,instance_026.json
ACO_Modified,5,13,5,6.205697426139697,2.134116900037043,680,improvement_pct=46.2163,5x5,26,instance_026.json
MMR_Original,5,11,5,17.232680450983832,6.709998706355691e-05,11,,5x5,27,instance_027.json
MMR_Modified,5,11,5,17.107768625519157,0.0010546999983489513,2,improvement_pct=0.7249,5x5,27,instance_027.json
ACO_Original,5,11,5,19.418164340161184,2.112059800012503,1051,,5x5,27,instance_027.json
ACO_Modified,5,11,5,17.232680450983832,2.1109075999702327,1035,improvement_pct=0.0000,5x5,27,instance_027.json
MMR_Original,5,11,5,0.9220404902635148,4.850002005696297e-05,11,,5x5,28,instance_028.json
MMR_Modified,5,11,5,0.9220404902635148,0.00048290000995621085,1,improvement_pct=0.0000,5x5,28,instance_028.json
ACO_Original,5,11,5,3.2162809094490883,2.110747899976559,1019,,5x5,28,instance_028.json
ACO_Modified,5,11,5,0.9220404902635148,2.113656900008209,1024,improvement_pct=0.0000,5x5,28,instance_028.json
MMR_Original,5,7,5,11.728326490891986,2.0499981474131346e-05,7,,5x5,29,instance_029.json
MMR_Modified,5,7,5,11.728326490891986,0.00020420004148036242,1,improvement_pct=0.0000,5x5,29,instance_029.json
ACO_Original,5,7,5,13.057584201901676,2.071177500009071,2293,,5x5,29,instance_029.json
ACO_Modified,5,7,5,11.728326490891986,2.0703546999720857,2263,improvement_pct=0.0000,5x5,29,instance_029.json
MMR_Original,5,11,5,6.493341538524359,3.7999998312443495e-05,11,,5x5,30,instance_030.json
MMR_Modified,5,11,5,6.201571003337822,0.000680800003465265,2,improvement_pct=4.4934,5x5,30,instance_030.json
ACO_Original,5,11,5,8.866423246199254,2.1105721999774687,980,,5x5,30,instance_030.json
ACO_Modified,5,11,5,6.493341538524359,2.1109873999957927,997,improvement_pct=0.0000,5x5,30,instance_030.json
MMR_Original,10,21,10,1.9786317872049881,0.00018079997971653938,21,,10x10,1,instance_001.json
MMR_Modified,10,21,10,1.3861347620884787,0.007468600000720471,3,improvement_pct=29.9448,10x10,1,instance_001.json
ACO_Original,10,21,10,26.975114464264,2.423248599981889,351,,10x10,1,instance_001.json
ACO_Modified,10,21,10,1.9786317872049881,2.4210405999911018,326,improvement_pct=0.0000,10x10,1,instance_001.json
MMR_Original,10,19,10,7.981750126792275,0.00015320000238716602,19,,10x10,2,instance_002.json
MMR_Modified,10,19,10,7.981750126792275,0.0027094000251963735,1,improvement_pct=0.0000,10x10,2,instance_002.json
ACO_Original,10,19,10,17.353045843146706,2.3836846000049263,368,,10x10,2,instance_002.json
ACO_Modified,10,19,10,7.981750126792275,2.3867435000138357,320,improvement_pct=0.0000,10x10,2,instance_002.json
MMR_Original,10,23,10,6.432789767900897,0.00038510002195835114,23,,10x10,3,instance_003.json
MMR_Modified,10,23,10,4.9417176713766455,0.007340600015595555,2,improvement_pct=23.1792,10x10,3,instance_003.json
ACO_Original,10,23,10,24.099201376557843,2.4611214999458753,296,,10x10,3,instance_003.json
ACO_Modified,10,23,10,6.432789767900897,2.462576200021431,289,improvement_pct=0.0000,10x10,3,instance_003.json
MMR_Original,10,25,10,2.249697701543525,0.00023880001390352845,25,,10x10,4,instance_004.json
MMR_Modified,10,25,10,2.249697701543525,0.003298599971458316,1,improvement_pct=0.0000,10x10,4,instance_004.json
ACO_Original,10,25,10,9.779744076015742,2.504577000043355,253,,10x10,4,instance_004.json
ACO_Modified,10,25,10,2.249697701543525,2.5077038999879733,244,improvement_pct=0.0000,10x10,4,instance_004.json
MMR_Original,10,19,10,5.8016307416307225,0.00019379996228963137,19,,10x10,5,instance_005.json
MMR_Modified,10,19,10,5.8016307416307225,0.0019064000225625932,1,improvement_pct=0.0000,10x10,5,instance_005.json
ACO_Original,10,19,10,22.568172664839544,2.3823780000093393,406,,10x10,5,instance_005.json
ACO_Modified,10,19,10,5.8016307416307225,2.384542200015858,406,improvement_pct=0.0000,10x10,5,instance_005.json
MMR_Original,10,21,10,17.295870338229776,0.00017190002836287022,21,,10x10,6,instance_006.json
MMR_Modified,10,21,10,17.080352650155987,0.004159600008279085,2,improvement_pct=1.2461,10x10,6,instance_006.json
ACO_Original,10,21,10,41.24076163761015,2.425155500008259,343,,10x10,6,instance_006.json
ACO_Modified,10,21,10,17.295870338229776,2.425612200051546,341,improvement_pct=0.0000,10x10,6,instance_006.json
MMR_Original,10,20,10,16.09347829610556,0.00016230001347139478,20,,10x10,7,instance_007.json
MMR_Modified,10,20,10,16.09347829610556,0.0020614999812096357,1,improvement_pct=0.0000,10x10,7,instance_007.json
ACO_Original,10,20,10,20.591651390601168,2.4031136999838054,375,,10x10,7,instance_007.json
ACO_Modified,10,20,10,15.13160418616529,2.406057999993209,380,improvement_pct=5.9768,10x10,7,instance_007.json
MMR_Original,10,22,10,3.4813816154922055,0.00019249995239078999,22,,10x10,8,instance_008.json
MMR_Modified,10,22,10,3.4813816154922055,0.002436899987515062,1,improvement_pct=0.0000,10x10,8,instance_008.json
ACO_Original,10,22,10,15.09514204623363,2.442664899979718,315,,10x10,8,instance_008.json
ACO_Modified,10,22,10,3.4813816154922055,2.443893800023943,316,improvement_pct=0.0000,10x10,8,instance_008.json
MMR_Original,10,19,10,7.5048782715297655,0.0001474000164307654,19,,10x10,9,instance_009.json
MMR_Modified,10,19,10,7.5048782715297655,0.0020469999872148037,1,improvement_pct=0.0000,10x10,9,instance_009.json
ACO_Original,10,19,10,33.75315548034575,2.382314899994526,412,,10x10,9,instance_009.json
ACO_Modified,10,19,10,7.5048782715297655,2.3844294999726117,399,improvement_pct=0.0000,10x10,9,instance_009.json
MMR_Original,10,21,10,3.27606304192309,0.0003174000303260982,21,,10x10,10,instance_010.json
MMR_Modified,10,21,10,3.1387106333854584,0.008984899963252246,2,improvement_pct=4.1926,10x10,10,instance_010.json
ACO_Original,10,21,10,14.831353088861173,2.420115999993868,353,,10x10,10,instance_010.json
ACO_Modified,10,21,10,3.27606304192309,2.425066899973899,340,improvement_pct=0.0000,10x10,10,instance_010.json
MMR_Original,10,22,10,11.650777984982861,0.00020999996922910213,22,,10x10,11,instance_011.json
MMR_Modified,10,22,10,11.650777984982861,0.0023382999934256077,1,improvement_pct=0.0000,10x10,11,instance_011.json
ACO_Original,10,22,10,59.419173104243725,2.4460792999598198,332,,10x10,11,instance_011.json
ACO_Modified,10,22,10,11.650777984982861,2.4439545000204816,321,improvement_pct=0.0000,10x10,11,instance_011.json
MMR_Original,10,21,10,6.992307885522123,0.0001691999495960772,21,,10x10,12,instance_012.json
MMR_Modified,10,21,10,6.992307885522123,0.002141700009815395,1,improvement_pct=0.0000,10x10,12,instance_012.json
ACO_Original,10,21,10,11.202785731362706,2.4209200000041164,349,,10x10,12,instance_012.json
ACO_Modified,10,21,10,6.992307885522123,2.4231169000267982,344,improvement_pct=0.0000,10x10,12,instance_012.json
MMR_Original,10,16,10,25.013512527571912,0.00016009999671950936,16,,10x10,13,instance_013.json
MMR_Modified,10,16,10,25.013512527571912,0.0032162999850697815,1,improvement_pct=0.0000,10x10,13,instance_013.json
ACO_Original,10,16,10,46.986174320027104,2.3206406999961473,566,,10x10,13,instance_013.json
ACO_Modified,10,16,10,25.013512527571912,2.3209060999797657,563,improvement_pct=0.0000,10x10,13,instance_013.json
MMR_Original,10,20,10,8.196005926766384,0.00016240001423284411,20,,10x10,14,instance_014.json
MMR_Modified,10,20,10,8.196005926766384,0.0021244999952614307,1,improvement_pct=0.0000,10x10,14,instance_014.json
ACO_Original,10,20,10,21.560184389484174,2.4070010000141338,381,,10x10,14,instance_014.json
ACO_Modified,10,20,10,8.196005926766384,2.403836500016041,373,improvement_pct=0.0000,10x10,14,instance_014.json
MMR_Original,10,19,10,12.671344303194873,0.000166199984960258,19,,10x10,15,instance_015.json
MMR_Modified,10,19,10,11.53611518236484,0.006277400010731071,3,improvement_pct=8.9590,10x10,15,instance_015.json
ACO_Original,10,19,10,29.40424014795652,2.404815800022334,169,,10x10,15,instance_015.json
ACO_Modified,10,19,10,12.671344303194873,2.382685800024774,61,improvement_pct=0.0000,10x10,15,instance_015.json
MMR_Original,10,20,10,27.2550961622304,0.0005240999744273722,20,,10x10,16,instance_016.json
MMR_Modified,10,20,10,17.344426366551154,0.02692840003874153,3,improvement_pct=36.3626,10x10,16,instance_016.json
ACO_Original,10,20,10,44.631586907365886,2.40370270004496,185,,10x10,16,instance_016.json
ACO_Modified,10,20,10,27.2550961622304,2.4007025999599136,371,improvement_pct=0.0000,10x10,16,instance_016.json
MMR_Original,10,23,10,5.699099376531891,0.00020870001753792167,23,,10x10,17,instance_017.json
MMR_Modified,10,23,10,5.699099376531891,0.0025932000135071576,1,improvement_pct=0.0000,10x10,17,instance_017.json
ACO_Original,10,23,10,26.65242434037255,2.465291599975899,301,,10x10,17,instance_017.json
ACO_Modified,10,23,10,5.699099376531891,2.463468300004024,288,improvement_pct=0.0000,10x10,17,instance_017.json
MMR_Original,10,15,10,28.72636305092941,9.659997886046767e-05,15,,10x10,18,instance_018.json
MMR_Modified,10,15,10,23.206957012320398,0.0035748000373132527,3,improvement_pct=19.2137,10x10,18,instance_018.json
ACO_Original,10,15,10,53.08258226669659,2.3004847000120208,625,,10x10,18,instance_018.json
ACO_Modified,10,15,10,28.72636305092941,2.301151499967091,626,improvement_pct=0.0000,10x10,18,instance_018.json
MMR_Original,10,19,10,3.6012415063366787,0.00014680001186206937,19,,10x10,19,instance_019.json
MMR_Modified,10,19,10,3.6012415063366787,0.0019138000207021832,1,improvement_pct=0.0000,10x10,19,instance_019.json
ACO_Original,10,19,10,19.293131739385306,2.382430099998601,410,,10x10,19,instance_019.json
ACO_Modified,10,19,10,3.6012415063366787,2.4697835000115447,356,improvement_pct=0.0000,10x10,19,instance_019.json
MMR_Original,10,14,10,50.835659648659,0.00027249997947365046,14,,10x10,20,instance_020.json
MMR_Modified,10,14,10,50.835659648659,0.004970000009052455,1,improvement_pct=0.0000,10x10,20,instance_020.json
ACO_Original,10,14,10,48.9187403466252,2.2807041999767534,93,,10x10,20,instance_020.json
ACO_Modified,10,14,10,50.835659648659,2.2847467999672517,96,improvement_pct=0.0000,10x10,20,instance_020.json
MMR_Original,10,15,10,28.11017248689335,0.00031750003108754754,15,,10x10,21,instance_021.json
MMR_Modified,10,15,10,28.11017248689335,0.006068799993954599,1,improvement_pct=0.0000,10x10,21,instance_021.json
ACO_Original,10,15,10,50.08816840201081,2.321887700003572,79,,10x10,21,instance_021.json
ACO_Modified,10,15,10,28.11017248689335,2.3057527000200935,88,improvement_pct=0.0000,10x10,21,instance_021.json
MMR_Original,10,17,10,39.805379116360655,0.0004042999935336411,17,,10x10,22,instance_022.json
