algorithm,n_weapons,n_targets,value,time_sec,iterations,extra,category,instance_id,instance_file
MMR_Original,10,20,465.2860512817791,7.869998808018863e-05,10,,small_scarce,4,instance_004.json
MMR_Modified,10,20,463.68451583596215,0.00038919999497011304,3,improvement_pct=0.3442,small_scarce,4,instance_004.json
GA_Original,10,20,463.76056227549225,5.000344800006133,6868,,small_scarce,4,instance_004.json
GA_Modified,10,20,463.6845158359622,5.000849799980642,4651,improvement_pct=0.3442,small_scarce,4,instance_004.json
MMR_Original,10,20,391.05899751111065,0.00010999999358318746,10,,small_scarce,5,instance_005.json
MMR_Modified,10,20,391.05899751111065,0.0005963000003248453,2,improvement_pct=0.0000,small_scarce,5,instance_005.json
GA_Original,10,20,387.07165138041006,5.000663800019538,6200,,small_scarce,5,instance_005.json
GA_Modified,10,20,387.61077011531756,5.005830400012201,2075,improvement_pct=0.8818,small_scarce,5,instance_005.json
MMR_Original,10,20,480.8799478063001,0.0001309000072069466,10,,small_scarce,6,instance_006.json
MMR_Modified,10,20,474.68388613624074,0.0006834999949205667,3,improvement_pct=1.2885,small_scarce,6,instance_006.json
GA_Original,10,20,474.68388613624074,5.004704199993284,956,,small_scarce,6,instance_006.json
GA_Modified,10,20,480.8799478063001,5.028815400000894,241,improvement_pct=0.0000,small_scarce,6,instance_006.json
MMR_Original,10,20,430.7357327064866,0.000381499994546175,10,,small_scarce,7,instance_007.json
MMR_Modified,10,20,418.98063721791993,0.0013024999934714288,3,improvement_pct=2.7291,small_scarce,7,instance_007.json
GA_Original,10,20,430.34103265146496,5.00112000000081,707,,small_scarce,7,instance_007.json
GA_Modified,10,20,418.98063721792,5.003992199985078,470,improvement_pct=2.7291,small_scarce,7,instance_007.json
MMR_Original,10,20,494.3871108509036,0.0006485000194516033,10,,small_scarce,8,instance_008.json
MMR_Modified,10,20,494.3871108509036,0.0008616999839432538,2,improvement_pct=0.0000,small_scarce,8,instance_008.json
GA_Original,10,20,474.89292343348063,5.003704499977175,1349,,small_scarce,8,instance_008.json
